manufacturer,catalog,component_type,part_number_series,nominal_size,description,specific_length,catalog_bore_min,catalog_bore_max,sct_bore_min,sct_bore_max,sct_bore_note,clamping_type,clamping_quantity,clamping_screw_size,clamping_bolt_circle
Danly,Inch,Guide Post,5-1022,1.250,"Demountable / Plain Bearing - 5.5"" Length",5.5,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1023,1.250,"Demountable / Plain Bearing - 5.75"" Length",5.75,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1024,1.250,"Demountable / Plain Bearing - 6"" Length",6,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1025,1.250,"Demountable / Plain Bearing - 6.25"" Length",6.25,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1026,1.250,"Demountable / Plain Bearing - 6.5"" Length",6.5,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1027,1.250,"Demountable / Plain Bearing - 6.75"" Length",6.75,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1028,1.250,"Demountable / Plain Bearing - 7"" Length",7,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1029,1.250,"Demountable / Plain Bearing - 7.25"" Length",7.25,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1030,1.250,"Demountable / Plain Bearing - 7.5"" Length",7.5,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1031,1.250,"Demountable / Plain Bearing - 7.75"" Length",7.75,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1032,1.250,"Demountable / Plain Bearing - 8"" Length",8,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1033,1.250,"Demountable / Plain Bearing - 8.25"" Length",8.25,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1034,1.250,"Demountable / Plain Bearing - 8.5"" Length",8.5,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1035,1.250,"Demountable / Plain Bearing - 8.75"" Length",8.75,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1036,1.250,"Demountable / Plain Bearing - 9"" Length",9,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1037,1.250,"Demountable / Plain Bearing - 9.25"" Length",9.25,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1038,1.250,"Demountable / Plain Bearing - 9.5"" Length",9.5,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1039,1.250,"Demountable / Plain Bearing - 9.75"" Length",9.75,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1040,1.250,"Demountable / Plain Bearing - 10"" Length",10,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1041,1.250,"Demountable / Plain Bearing - 10.25"" Length",10.25,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1042,1.250,"Demountable / Plain Bearing - 10.5"" Length",10.5,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1043,1.250,"Demountable / Plain Bearing - 10.75"" Length",10.75,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1044,1.250,"Demountable / Plain Bearing - 11"" Length",11,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1045,1.250,"Demountable / Plain Bearing - 11.25"" Length",11.25,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1046,1.250,"Demountable / Plain Bearing - 11.5"" Length",11.5,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1047,1.250,"Demountable / Plain Bearing - 11.75"" Length",11.75,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1048,1.250,"Demountable / Plain Bearing - 12"" Length",12,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1049,1.250,"Demountable / Plain Bearing - 12.25"" Length",12.25,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1050,1.250,"Demountable / Plain Bearing - 12.5"" Length",12.5,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1051,1.250,"Demountable / Plain Bearing - 12.75"" Length",12.75,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1052,1.250,"Demountable / Plain Bearing - 13"" Length",13,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1053,1.250,"Demountable / Plain Bearing - 13.25"" Length",13.25,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1054,1.250,"Demountable / Plain Bearing - 13.5"" Length",13.5,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1055,1.250,"Demountable / Plain Bearing - 13.75"" Length",13.75,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1056,1.250,"Demountable / Plain Bearing - 14"" Length",14,1.7498,1.7505,1.7505,1.7512,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,2.782
Danly,Inch,Guide Post,5-1212,1.500,"Demountable / Plain Bearing - 3"" Length",3,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1213,1.500,"Demountable / Plain Bearing - 3.25"" Length",3.25,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1214,1.500,"Demountable / Plain Bearing - 3.5"" Length",3.5,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1215,1.500,"Demountable / Plain Bearing - 3.75"" Length",3.75,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1216,1.500,"Demountable / Plain Bearing - 4"" Length",4,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1217,1.500,"Demountable / Plain Bearing - 4.25"" Length",4.25,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1218,1.500,"Demountable / Plain Bearing - 4.5"" Length",4.5,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1219,1.500,"Demountable / Plain Bearing - 4.75"" Length",4.75,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1220,1.500,"Demountable / Plain Bearing - 5"" Length",5,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1221,1.500,"Demountable / Plain Bearing - 5.25"" Length",5.25,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1222,1.500,"Demountable / Plain Bearing - 5.5"" Length",5.5,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1223,1.500,"Demountable / Plain Bearing - 5.75"" Length",5.75,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1224,1.500,"Demountable / Plain Bearing - 6"" Length",6,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1225,1.500,"Demountable / Plain Bearing - 6.25"" Length",6.25,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1226,1.500,"Demountable / Plain Bearing - 6.5"" Length",6.5,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1227,1.500,"Demountable / Plain Bearing - 6.75"" Length",6.75,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1228,1.500,"Demountable / Plain Bearing - 7"" Length",7,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1229,1.500,"Demountable / Plain Bearing - 7.25"" Length",7.25,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1230,1.500,"Demountable / Plain Bearing - 7.5"" Length",7.5,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1231,1.500,"Demountable / Plain Bearing - 7.75"" Length",7.75,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1232,1.500,"Demountable / Plain Bearing - 8"" Length",8,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1233,1.500,"Demountable / Plain Bearing - 8.25"" Length",8.25,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1234,1.500,"Demountable / Plain Bearing - 8.5"" Length",8.5,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1235,1.500,"Demountable / Plain Bearing - 8.75"" Length",8.75,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1236,1.500,"Demountable / Plain Bearing - 9"" Length",9,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1237,1.500,"Demountable / Plain Bearing - 9.25"" Length",9.25,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1238,1.500,"Demountable / Plain Bearing - 9.5"" Length",9.5,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1239,1.500,"Demountable / Plain Bearing - 9.75"" Length",9.75,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1240,1.500,"Demountable / Plain Bearing - 10"" Length",10,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1241,1.500,"Demountable / Plain Bearing - 10.25"" Length",10.25,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1242,1.500,"Demountable / Plain Bearing - 10.5"" Length",10.5,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1243,1.500,"Demountable / Plain Bearing - 10.75"" Length",10.75,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1244,1.500,"Demountable / Plain Bearing - 11"" Length",11,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1245,1.500,"Demountable / Plain Bearing - 11.25"" Length",11.25,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1246,1.500,"Demountable / Plain Bearing - 11.5"" Length",11.5,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1247,1.500,"Demountable / Plain Bearing - 11.75"" Length",11.75,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1248,1.500,"Demountable / Plain Bearing - 12"" Length",12,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1249,1.500,"Demountable / Plain Bearing - 12.25"" Length",12.25,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1250,1.500,"Demountable / Plain Bearing - 12.5"" Length",12.5,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1251,1.500,"Demountable / Plain Bearing - 12.75"" Length",12.75,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1252,1.500,"Demountable / Plain Bearing - 13"" Length",13,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1253,1.500,"Demountable / Plain Bearing - 13.25"" Length",13.25,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1254,1.500,"Demountable / Plain Bearing - 13.5"" Length",13.5,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1255,1.500,"Demountable / Plain Bearing - 13.75"" Length",13.75,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Danly,Inch,Guide Post,5-1256,1.500,"Demountable / Plain Bearing - 14"" Length",14,1.9998,2.0005,2.0005,2.0012,SCT Override: Shifted by spread (0.0007),,3,5/16-18 x 7/8,3.062
Superior,Die Set Components,Steel/Bronze Bushing (Shoulder),"311, 312, 313",1.000 (ID),Demountable / Plain Bearing,,1.5,1.5005,1.5005,1.501,SCT Override: Shifted by spread (0.0005),C-S,2,5/16-18 x 3/4,
Superior,Die Set Components,Ball Bearing Bushing,336,1.000 (ID),Demountable / Ball Bearing,,1.716,1.7165,1.716,1.7165,No shift for Ball Bearing,C-S,2,5/16-18 x 3/4,
Anchor Lamina,Round Die Products,Wring Fit Bushing (Shoulder),"AC, SC, LAC, XLAC",1.000 (ID),Demountable / Plain Bearing,,1.5,1.5005,1.5005,1.501,SCT Override: Shifted by spread (0.0005),D-Clamp,3,,2.156
MDL,Components,Plain Bearing Bushing (Shoulder),"B16, B26",1.000 (ID),Danly Style / Plain Bearing,,1.5003,1.5009,1.5009,1.5015,SCT Override: Shifted by spread (0.0006),B01.006.001,,,2.125
Steinel,Normalien,Guide Bushing (Gliding),ST 7100 Series,25mm (ID),Bronzed Plated / Solid Lubricant,,40,40.025,,,,ST 7367,3,M6,54
Steinel,Normalien,Guide Pillar (Smooth),ST 7105.25.100,25mm (OD),Steel / Superfinished - 100mm Length,100mm,24.978,24.991,,,,ST 7367,3,M6,39
Steinel,Normalien,Guide Pillar (Smooth),ST 7105.25.120,25mm (OD),Steel / Superfinished - 120mm Length,120mm,24.978,24.991,,,,ST 7367,3,M6,39
Steinel,Normalien,Guide Pillar (Smooth),ST 7105.25.130,25mm (OD),Steel / Superfinished - 130mm Length,130mm,24.978,24.991,,,,ST 7367,3,M6,39
Steinel,Normalien,Guide Pillar (Smooth),ST 7105.25.140,25mm (OD),Steel / Superfinished - 140mm Length,140mm,24.978,24.991,,,,ST 7367,3,M6,39
Steinel,Normalien,Guide Pillar (Smooth),ST 7105.25.160,25mm (OD),Steel / Superfinished - 160mm Length,160mm,24.978,24.991,,,,ST 7367,3,M6,39
Steinel,Normalien,Guide Pillar (Smooth),ST 7105.25.180,25mm (OD),Steel / Superfinished - 180mm Length,180mm,24.978,24.991,,,,ST 7367,3,M6,39
Steinel,Normalien,Guide Pillar (Smooth),ST 7105.25.200,25mm (OD),Steel / Superfinished - 200mm Length,200mm,24.978,24.991,,,,ST 7367,3,M6,39
Steinel,Normalien,Guide Pillar (Smooth),ST 7105.25.240,25mm (OD),Steel / Superfinished - 240mm Length,240mm,24.978,24.991,,,,ST 7367,3,M6,39